;query;Diversity Score;Tweet;Username;Date;Hashtags;Likes;Retweets;URL
0;['obama'];1.0;Now do Reagan through Obama. ;J_Dubya80;Thu Dec 17 14:01:56 +0000 2020;['No Hashtags'];0;0;['https://t.co/QEd7LnMW3E']
1;['obama'];1.0;GOP congressman who once shouted ‘you lie’ during Obama address tests positive for Covid ;thomaskaine5;Thu Dec 17 14:12:41 +0000 2020;['No Hashtags'];85;27;['https://t.co/2HVGDpakUR']
2;['obama'];1.0;But Obama wore a tan suit? ;ssurovell;Thu Dec 17 13:53:57 +0000 2020;['No Hashtags'];52;7;['https://t.co/wr6XbZvQXt']
3;['obama'];1.0;GOP congressman who once shouted ‘you lie’ during Obama address tests positive for Covid - ;santo_aol;Thu Dec 17 14:04:24 +0000 2020;['No Hashtags'];1;0;['https://t.co/u60Y6YhDQ3']
4;['obama'];0.9761904761904762;"Wilson became infamous after shouting out “You lie!” at President Obama during an address to a joint session of Congress in 2009. 
Rep. Joe Wilson Announces COVID Diagnosis After Speaking on House Floor  #SmartNews";brian_warrick;Thu Dec 17 13:50:32 +0000 2020;['SmartNews'];0;0;['https://t.co/REoEwYgsNl']
5;['obama'];0.9642857142857143;I thought Biden and Obama were supposed to be getting the vaccine before everyone else. Where’s the live vaccination video at? ;thesarah_o;Thu Dec 17 14:08:50 +0000 2020;['No Hashtags'];6;0;['https://t.co/VGhNZtXL7G']
6;['obama'];0.96; They had an article talking about Clinton and Obama might take the vaccine publicly to convince people it was safe to....🥴;L_Rocks_Well;Thu Dec 17 14:11:05 +0000 2020;['No Hashtags'];0;0;[]
7;['obama'];0.9411764705882353;"You don't want to know what my thoughts are congressman:
GOP congressman who once shouted ‘you lie’ during Obama address tests positive for Covid  via ";davida76321;Thu Dec 17 13:52:40 +0000 2020;['No Hashtags'];6;2;['https://t.co/jkYAmym7tx']
8;['obama'];0.9375;Has Obama taken the vaccine? I’ll take it if Barry takes it 😌;Chels_Ayyeee;Thu Dec 17 14:19:23 +0000 2020;['No Hashtags'];0;0;[]
9;['obama'];0.9333333333333333;   Was just looking to see whether Obama pardoned him for that cough drop so I could write the same thing if he hadn't;Playerinthgame;Thu Dec 17 14:32:36 +0000 2020;['No Hashtags'];2;0;[]
10;['pfizer'];1.0; No such concerns for the Pfizer vaccine. ;JohnMullahy;Thu Dec 17 14:13:54 +0000 2020;['No Hashtags'];12;0;['https://t.co/AdQaQSyKef']
11;['pfizer'];1.0;Alaska health care worker had severe allergic reaction to Pfizer Covid-19 vaccine  via ;EWillaSimpson;Thu Dec 17 14:05:22 +0000 2020;['No Hashtags'];1;0;['https://t.co/DqYRLF30TQ']
12;['pfizer'];1.0;FDA says Pfizer vaccine vials hold extra doses, expanding supply - POLITICO ;adamsteinhouse;Thu Dec 17 14:33:28 +0000 2020;['No Hashtags'];0;0;['https://t.co/Upn778az35']
13;['pfizer'];1.0;SECOND health worker in Alaska suffers allergic reaction after getting Pfizer Covid-19 jab ;khanaamir101112;Thu Dec 17 14:28:12 +0000 2020;['No Hashtags'];0;0;['https://t.co/5wdzUb3WkV']
14;['pfizer'];1.0;Alaskan health care worker suffers anaphylactic reaction after getting Pfizer vaccine shot ;BoudicaU;Thu Dec 17 14:27:55 +0000 2020;['No Hashtags'];0;0;['https://t.co/WYwItW3NXA']
15;['pfizer'];1.0;Health Care Worker Hospitalized with Serious Allergic Reaction to Pfizer's COVID Vaccine via  ;jameshu82961595;Thu Dec 17 14:21:02 +0000 2020;['No Hashtags'];0;0;['https://t.co/VBTr3XDEhF']
16;['pfizer'];1.0;FDA says Pfizer coronavirus vaccine contains extra doses, expanding nation’s supply ;Fernand46357857;Thu Dec 17 14:13:15 +0000 2020;['No Hashtags'];1;1;['https://t.co/m7RuH0PM3M']
